ques,skill
11948,245
30587,247
20037,48
27471,25
4660,258
11830,241
8129,209
43553,241
23818,15
30388,115
12284,44
33208,21
8582,50
29092,38
31498,177
10884,114
44654,187
22627,48
19058,21
22033,142
31428,193
22673,200
13849,254
25206,55
32486,8
40143,120
28313,197
10438,42
28361,241
10518,109
39630,71
9910,112
25779,187
24025,174
10716,174
5134,21
33318,109
39558,115
5717,180
45222,199
1482,260
5650,15
16954,32
255,78
16592,161
26780,245
18682,197
11789,191
28934,47
28578,167
35912,206
19032,115
9187,89
2930,187
15300,187
23366,195
39921,89
14180,258
5529,232
31549,89
39395,78
5388,21
14806,151
24313,255
31454,78
43626,71
21983,165
37747,206
27433,48
28990,112
1401,232
19037,49
29891,76
13895,15
25819,241
5829,0
12954,81
13210,199
34677,241
17437,187
29572,136
12783,180
45647,25
17264,29
28700,67
9760,209
29387,187
45474,25
17863,22
39950,9
40803,89
9356,187
28618,241
34505,130
37048,123
25121,187
41388,71
9879,73
16871,89
38083,53
21904,245
17952,10
14609,23
13019,136
21634,258
14505,70
37732,188
18589,21
36774,181
17995,61
26605,155
34490,8
23804,15
24482,141
27798,201
28698,241
12065,61
39939,71
41497,131
41880,53
10838,245
1111,36
32010,200
35653,158
4959,8
19310,48
21607,65
6505,67
34789,141
42693,206
5104,21
29442,99
44255,25
857,194
12904,5
41549,64
5304,254
11257,176
8,194
13810,89
2912,114
15397,243
21975,195
24224,137
7354,187
22598,8
226,245
21656,208
9829,21
37498,260
43859,23
33839,206
24928,136
22278,208
35263,63
44585,25
14741,249
13084,221
25564,29
31472,136
7890,187
41328,8
44428,25
7558,227
12362,21
8719,242
12908,8
22663,251
27969,241
6485,8
45675,192
27609,194
19497,165
19112,197
32681,141
21688,29
9338,148
23264,15
34704,137
16196,47
8261,211
13209,199
18477,190
21427,160
38715,8
7823,209
34958,22
437,187
1419,195
14378,15
4153,45
6460,47
7087,242
18161,70
18651,21
27159,214
11991,136
24580,109
23481,77
40054,41
11168,176
5895,159
16837,61
4675,142
5376,187
37846,89
37613,194
20070,64
9902,33
40104,83
41678,47
14068,8
23120,25
36521,165
19106,197
23784,48
25102,8
42494,141
25713,15
41175,115
11890,78
13203,187
25542,194
26809,174
39455,141
14405,187
21225,191
14090,136
1261,236
22193,136
9677,89
16189,42
14409,9
4274,81
12094,190
45478,187
31285,82
15656,47
14029,22
25015,100
32886,120
725,192
9307,21
15538,47
9012,191
8028,124
35942,245
12643,245
13369,187
23869,45
35045,53
10366,242
35001,183
10541,174
29205,55
37374,119
22216,179
29136,160
41414,183
32427,78
20006,209
1189,36
39936,53
31947,165
46073,191
31525,7
6163,187
2555,10
656,21
8079,264
43602,21
11939,260
41627,64
38592,187
37815,208
38668,64
41765,242
2215,263
31079,71
5635,245
41124,206
35137,115
29496,141
7898,71
26464,195
10083,78
34273,194
3508,99
21854,245
29426,197
23711,48
15873,81
6869,232
46011,76
5279,187
14985,89
11658,241
15123,199
44123,25
17327,252
13081,187
23198,191
19984,89
10804,176
22907,25
30284,25
19105,197
18812,155
42811,136
13451,47
11036,114
14591,70
5159,21
21819,187
43513,241
14614,155
4451,232
39696,193
9607,112
40754,8
38960,76
35354,21
2898,227
9226,260
12121,190
21832,141
30957,195
22099,81
28158,258
5603,117
32195,21
41117,11
45601,199
17301,70
17605,8
19603,254
21838,22
39192,190
41174,55
11419,78
23257,255
30880,25
862,180
22872,155
9227,259
20465,226
38466,141
37175,160
3957,165
10193,112
36505,241
3705,165
26895,195
29727,165
40800,242
771,21
21931,15
40449,11
14726,47
18889,89
41200,11
22748,139
23887,258
12875,136
27701,64
43915,254
44590,141
31445,131
10854,109
35134,115
37401,119
8697,10
15684,125
28445,242
9054,78
32392,161
1016,47
13538,42
42951,153
11930,165
10496,202
4557,8
33481,241
29425,197
10952,195
32978,173
26497,22
44916,25
8120,81
12850,187
6342,245
18642,199
23601,89
19559,73
28889,177
37671,187
44184,112
32859,112
29562,136
37823,76
28044,241
36623,8
17014,61
38164,8
26297,163
25467,28
38724,64
37135,255
37001,255
40124,71
44321,139
25376,187
3649,131
36029,93
436,194
8377,147
2240,263
13555,47
37104,245
38847,120
749,190
20036,31
13437,47
37219,260
29509,195
26725,9
6528,187
29942,187
1869,36
44956,201
40872,191
43803,7
22208,260
34560,137
34703,137
30714,179
34532,93
32881,262
14590,0
14627,22
33810,187
37854,200
22175,81
38172,245
23546,136
27344,187
34730,120
36843,181
22283,48
45889,89
2567,33
11571,260
28309,195
7600,187
3406,32
17429,48
29873,44
30281,191
39106,194
46050,76
35048,206
16811,209
16578,252
23858,89
35765,245
34366,137
23166,258
5797,45
28375,55
30338,193
17034,187
4552,71
22610,136
11987,234
21661,15
36562,8
41954,115
39884,187
8437,187
23193,191
31558,25
15903,62
31069,100
42382,136
23607,133
3874,114
27087,131
28923,47
26637,112
23330,194
14805,70
33467,191
31808,34
34795,141
38809,23
15427,47
26821,100
39451,183
5663,136
16914,89
41228,187
29307,114
16333,47
7043,31
30568,7
35683,206
38785,191
32757,25
37134,255
27689,194
1120,141
37000,255
44193,115
27622,120
8217,180
22370,25
42128,78
7987,10
2601,76
2691,206
949,78
35848,47
13879,254
45911,106
43932,112
29642,38
44273,190
25139,187
12327,89
36380,21
24374,132
10137,187
6002,8
40417,64
20046,61
11505,15
15738,15
44012,53
12691,114
11387,47
16005,209
23082,25
2376,242
7621,187
18655,21
34238,109
21192,100
39293,240
34466,208
32776,195
22354,182
20846,165
15760,131
44211,15
22982,89
43418,190
10669,242
10602,151
43722,64
45279,64
15713,22
14250,241
43182,190
30400,89
34744,208
1672,201
9680,21
22914,251
7363,187
25447,226
20034,48
23204,200
4809,99
25223,141
34005,162
21021,195
38512,121
28507,195
45662,76
31829,180
301,23
40097,89
2541,78
35698,47
23844,15
9125,7
32094,200
11623,242
3585,15
30080,76
9302,201
37633,211
33068,209
24286,167
6508,47
17285,255
44067,25
